,text,coord,place,hashtags,formatted_text,sentiment,neg,neu,pos,compound
582,RT @drumanilra: We believe animal welfare needs to be made a priority over profit. Learn more about our mission here: https://t.co/5fF9OvNj…,,,nan, We believe animal welfare needs to be made a priority over profit  Learn more about our mission here   ,positive,0.0,0.847,0.153,0.4404
583,"#NFFNNI at @balmoralshow  

Great to have @JohnBlairMLA from @allianceparty visit our stall at Balmoral today to di… https://t.co/mZljnEqU1i",,,['NFFNNI'], NFFNNI at      Great to have   from   visit our stall at Balmoral today to di   ,positive,0.101,0.67,0.229,0.5106
584,RT @FarmingLifeNI: Watch: World’s first ever methane powered tractor makes Northern Ireland debut https://t.co/9srdx8R3EO,,,nan, Watch  World s first ever methane powered tractor makes Northern Ireland debut  ,neutral,0.0,1.0,0.0,0.0
585,"RT @EuDairyIRE: New national #research of 1,500 Irish adults reveals that consumers are backing dairy production in Ireland &amp; recognise the…",,,['research'], New national  research of 1 500 Irish adults reveals that consumers are backing dairy production in Ireland  amp  recognise the ,positive,0.0,0.942,0.058,0.0258
586,@con2713 @trussliz @MarosSefcovic https://t.co/A6D6HYCZ5d,,,nan,       ,neutral,0.0,0.0,0.0,0.0
587,"RT @cultivate_ie: Detailed feature in the @irishexaminer from @Kathleen_OSull on our latest report  -Rural Ireland on the Move.
Focuses on…",,,nan, Detailed feature in the   from   OSull on our latest report   Rural Ireland on the Move  Focuses on ,neutral,0.0,1.0,0.0,0.0
588,"New national #research of 1,500 Irish adults reveals that consumers are backing dairy production in Ireland &amp; recog… https://t.co/qxM7VROZre",,,['research'],New national  research of 1 500 Irish adults reveals that consumers are backing dairy production in Ireland  amp  recog   ,positive,0.0,0.939,0.061,0.0258
589,@IrelandsFarmers Not a farmer! My 3rd great grandfather was a Farmer in Ireland. I don’t know anyone from that side… https://t.co/wCRlwgkWgH,,,nan,  Not a farmer  My 3rd great grandfather was a Farmer in Ireland  I don t know anyone from that side   ,positive,0.0,0.785,0.215,0.6249
590,Watch: World’s first ever methane powered tractor makes Northern Ireland debut https://t.co/9srdx8R3EO,,,nan,Watch  World s first ever methane powered tractor makes Northern Ireland debut  ,neutral,0.0,1.0,0.0,0.0
591,"@bwahacker Well over here, basically everything across the board.

But, fertiliser for farming, raw building materi… https://t.co/u8dn7c892E",,,nan,  Well over here  basically everything across the board   But  fertiliser for farming  raw building materi   ,positive,0.0,0.87,0.13,0.2732
592,@sksanglia @scorpiotiger77 @BorisJohnson @RishiSunak @trussliz @SteveBakerHW @DCBMEP @griffitha @SteveBarclay… https://t.co/idv19zSUWF,,,nan,                    ,neutral,0.0,0.0,0.0,0.0
593,"""Moves to have Northern Ireland included in the proposed Protected Geographical Indication (PGI) application for Ir… https://t.co/3WWftnizgU",,,nan, Moves to have Northern Ireland included in the proposed Protected Geographical Indication  PGI  application for Ir   ,positive,0.0,0.838,0.162,0.4404
594,Rugged six-wheel-drive slurry tanker set to tackle Ireland's steepest hills https://t.co/F8sCz0DXmP,,,nan,Rugged six wheel drive slurry tanker set to tackle Ireland s steepest hills  ,neutral,0.0,1.0,0.0,0.0
595,"RT @SiobhanBenita: Pretending to “get Brexit done” was what Johnson’s Tories did to see off Farage. 

Peace in Ireland, fishing and farming…",,,nan, Pretending to  get Brexit done  was what Johnson s Tories did to see off Farage    Peace in Ireland  fishing and farming ,positive,0.0,0.786,0.214,0.5994
596,"To reduce Ireland’s reliance on imported feed materials, Minister McConalogue has launched the Protein/Cereal Mix C… https://t.co/c0yPS8iXfB",,,nan,To reduce Ireland s reliance on imported feed materials  Minister McConalogue has launched the Protein Cereal Mix C   ,positive,0.0,0.909,0.091,0.128
597,"RT @BBCDouglasF: US trade supremo, in Aberdeen: 
On Brexit and threats to the Northern Ireland protocol: “this is a big issue for us. We’re…",,,nan, US trade supremo  in Aberdeen   On Brexit and threats to the Northern Ireland protocol   this is a big issue for us  We re ,positive,0.109,0.778,0.113,0.0258
598,RT @McDonaldsUK: Our Progressive Young Farmer Programme has helped kickstart of farming careers across the UK and Ireland 👩‍🌾 https://t.co/…,,,nan, Our Progressive Young Farmer Programme has helped kickstart of farming careers across the UK and Ireland      ,neutral,0.0,1.0,0.0,0.0
599,Balmoral Show: An historic first appearance for kangaroos at Northern Ireland’s annual festival of farming https://t.co/O4yeLKqUS8,,,nan,Balmoral Show  An historic first appearance for kangaroos at Northern Ireland s annual festival of farming  ,positive,0.0,0.814,0.186,0.4939
600,#Agri #Farming #farmer #farmlife #village #Pakistan #dairyfarm #Dairy #milk #livestock #Cow #Silage #milking… https://t.co/rM5Mr1Ac7Y,,,"['Agri', 'Farming', 'farmer', 'farmlife', 'village', 'Pakistan', 'dairyfarm', 'Dairy', 'milk', 'livestock', 'Cow', 'Silage', 'milking']", Agri  Farming  farmer  farmlife  village  Pakistan  dairyfarm  Dairy  milk  livestock  Cow  Silage  milking   ,neutral,0.0,1.0,0.0,0.0
601,RT @5stocksinto: 5 Chinese Stocks Into Dairy https://t.co/z10cDZYrfV  #China #Agriculture #Stocks #Investment #Dairy #Farming #Food #Bevera…,,,"['China', 'Agriculture', 'Stocks', 'Investment', 'Dairy', 'Farming', 'Food']", 5 Chinese Stocks Into Dairy     China  Agriculture  Stocks  Investment  Dairy  Farming  Food  Bevera ,neutral,0.0,1.0,0.0,0.0
602,@janetmulkey111 @JohnOberg Of course not. Not for over ten years. Neither do I consume milk and other dairy stuff.… https://t.co/n8tK05gVzU,,,nan,    Of course not  Not for over ten years  Neither do I consume milk and other dairy stuff    ,neutral,0.0,1.0,0.0,0.0
603,"Whole milk powder exports are at risk of being replaced by a plant-based replica for use in chocolate, medicine and… https://t.co/yIeOjB7c6u",,,nan,Whole milk powder exports are at risk of being replaced by a plant based replica for use in chocolate  medicine and   ,negative,0.1,0.9,0.0,-0.2732
604,Hear how we addressed a farming co-op's declining dairy milk sales by helping them find a market niche and create a… https://t.co/SiPIwS5rBY,,,nan,Hear how we addressed a farming co op s declining dairy milk sales by helping them find a market niche and create a   ,positive,0.0,0.798,0.202,0.5106
605,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
606,RT @EnoJane: @mani_randi96 @FrancineHibiscs @OkieSpaceQueen They breed them once a year mostly. The milk the dairy cows now produce is too…,,,nan,   randi96     They breed them once a year mostly  The milk the dairy cows now produce is too ,neutral,0.0,1.0,0.0,0.0
607,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
608,"RT @food4thehungry: Your gift of a dairy cow will provide milk for a family’s children, income from dairy products, manure for improved far…",,,nan, Your gift of a dairy cow will provide milk for a family s children  income from dairy products  manure for improved far ,positive,0.0,0.739,0.261,0.7184
609,Touted to help Pa farmers but @LancFarming reports new infant formula factory gets its milk from New York. https://t.co/XxguS6GpZN,,,nan,Touted to help Pa farmers but   reports new infant formula factory gets its milk from New York   ,positive,0.061,0.836,0.103,0.1901
610,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
611,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
612,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
613,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
614,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
615,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
616,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
617,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
618,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
619,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
620,"RT @MukankanikaDona: #MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture for…",,,['MWEWorksUg'],  MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture for ,positive,0.0,0.838,0.162,0.4404
621,"#MWEWorksUg , To the Pastoralists @MeteoUganda says the current rains are expected to improve foliage and pasture f… https://t.co/0AxciZLHcC",,,['MWEWorksUg'], MWEWorksUg   To the Pastoralists   says the current rains are expected to improve foliage and pasture f   ,positive,0.0,0.828,0.172,0.4404
622,#dairy #milk #dairyfarm #cows #farm #cow #cheese #food #dairycows #farming #a #farmlife #agriculture… https://t.co/l8gN7DNYr2,,,"['dairy', 'milk', 'dairyfarm', 'cows', 'farm', 'cow', 'cheese', 'food', 'dairycows', 'farming', 'a', 'farmlife', 'agriculture']", dairy  milk  dairyfarm  cows  farm  cow  cheese  food  dairycows  farming  a  farmlife  agriculture   ,neutral,0.0,1.0,0.0,0.0
623,"RT @ThinkGrainFeed: Ensuring sustainability for Indian dairy farming
https://t.co/VcUL61TFoi 
@BinsarFarms 
#sustainability #cattlefeed #da…",,,"['sustainability', 'cattlefeed']", Ensuring sustainability for Indian dairy farming        sustainability  cattlefeed  da ,positive,0.0,0.792,0.208,0.2732
624,"Ensuring sustainability for Indian dairy farming
https://t.co/VcUL61TFoi 
@BinsarFarms 
#sustainability #cattlefeed #dairyfarms #dairy #milk",,,"['sustainability', 'cattlefeed', 'dairyfarms', 'dairy', 'milk']",Ensuring sustainability for Indian dairy farming        sustainability  cattlefeed  dairyfarms  dairy  milk,positive,0.0,0.826,0.174,0.2732
625,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
626,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
627,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
628,Women led Balinee milk producer company revolutionizes dairy farming https://t.co/aFmFkWOhI5,,,nan,Women led Balinee milk producer company revolutionizes dairy farming  ,neutral,0.0,1.0,0.0,0.0
629,"Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca… https://t.co/zavhxv4WDP",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']",Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca   ,positive,0.194,0.498,0.308,0.3182
630,"Palan aur poshan ho behtar jab aapke sang ho AFI Feed ka faida. Choose Balanced Life, Balanced Diet.

#Dairy #Feed… https://t.co/fnj6n0KgvP",,,"['Dairy', 'Feed']",Palan aur poshan ho behtar jab aapke sang ho AFI Feed ka faida  Choose Balanced Life  Balanced Diet    Dairy  Feed   ,neutral,0.0,1.0,0.0,0.0
631,@PlantBasedNews @1GarethWynJones @Evsthetractor @tiktok_uk @GHGGuru @SBakerMD @fleroy1974 You  guys are counting ra… https://t.co/H4oj9zHOB5,,,nan,        uk       You  guys are counting ra   ,neutral,0.0,1.0,0.0,0.0
632,"RT @AgriInnovation2: Dairy farming in Israel, we visited a farm with 1200 dairy cows, 956 being milked with a daily milk production of 37,0…",,,nan, Dairy farming in Israel  we visited a farm with 1200 dairy cows  956 being milked with a daily milk production of 37 0 ,neutral,0.0,1.0,0.0,0.0
633,"MEANWHILE.......THE REALLY INTELLIGENT PEOPLE.....ARE SKIPPING THE ANIMALS 

https://t.co/Rs43URORQz",,,nan,MEANWHILE       THE REALLY INTELLIGENT PEOPLE     ARE SKIPPING THE ANIMALS    ,positive,0.0,0.708,0.292,0.5095
634,#CBC mentions NZ and dairy??  NZ DOESN'T LEARN FAST EITHER.  WANT TO SWIM AND HAVE CLEAN WATER...OR DRINK THE COWS… https://t.co/0KhGtrufUV,,,['CBC'], CBC mentions NZ and dairy    NZ DOESN T LEARN FAST EITHER   WANT TO SWIM AND HAVE CLEAN WATER   OR DRINK THE COWS   ,positive,0.0,0.777,0.223,0.6669
635,"@FoodProfessor @StatCan_eng Massive labor requirement in dairy farming and when one generation retires, the next mi… https://t.co/tjTpzCinAl",,,nan,    eng Massive labor requirement in dairy farming and when one generation retires  the next mi   ,neutral,0.0,1.0,0.0,0.0
636,"RT @TheTrueCompton: ""Farming"" sentient beings requires viewing them as objects rather than thinking, feeling individuals they are. It's unn…",,,nan,  Farming  sentient beings requires viewing them as objects rather than thinking  feeling individuals they are  It s unn ,positive,0.0,0.914,0.086,0.128
637,@mani_randi96 @FrancineHibiscs @OkieSpaceQueen They breed them once a year mostly. The milk the dairy cows now prod… https://t.co/j04wa0fblW,,,nan,  randi96     They breed them once a year mostly  The milk the dairy cows now prod   ,neutral,0.0,1.0,0.0,0.0
638,Pennsylvania officials said the retooled ByHeart baby formula plant in Reading would help Pennsylvania dairy farmer… https://t.co/hcPFdxvsnE,,,nan,Pennsylvania officials said the retooled ByHeart baby formula plant in Reading would help Pennsylvania dairy farmer   ,positive,0.0,0.847,0.153,0.4019
639,@CBSNews I am a vegan and I don't mind paying extra for vegan milk.  Dairy is part of factory farming,,,nan,  I am a vegan and I don t mind paying extra for vegan milk   Dairy is part of factory farming,neutral,0.0,1.0,0.0,0.0
640,"RT @AgriInnovation2: Dairy farming in Israel, we visited a farm with 1200 dairy cows, 956 being milked with a daily milk production of 37,0…",,,nan, Dairy farming in Israel  we visited a farm with 1200 dairy cows  956 being milked with a daily milk production of 37 0 ,neutral,0.0,1.0,0.0,0.0
641,"RT @AgriInnovation2: Dairy farming in Israel, we visited a farm with 1200 dairy cows, 956 being milked with a daily milk production of 37,0…",,,nan, Dairy farming in Israel  we visited a farm with 1200 dairy cows  956 being milked with a daily milk production of 37 0 ,neutral,0.0,1.0,0.0,0.0
642,"@WPBF25News STOP WITH THE BULLSHIT AMERICA!
There is no baby formula Milk shortage.
#AMERICA #DAIRY #FARMING IS BRI… https://t.co/pMZZi62hnh",,,"['AMERICA', 'DAIRY', 'FARMING']",  STOP WITH THE **** AMERICA  There is no baby formula Milk shortage   AMERICA  DAIRY  FARMING IS BRI   ,negative,0.473,0.527,0.0,-0.8926
643,RT @briovc: @KidegaTonny set up a modern dairy farm in northern Uganda. He employs youths from his neighborhood and trains internees from m…,,,nan,   set up a modern dairy farm in northern Uganda  He employs youths from his neighborhood and trains internees from m ,neutral,0.0,1.0,0.0,0.0
644,"Dairy farming in Israel, we visited a farm with 1200 dairy cows, 956 being milked with a daily milk production of 3… https://t.co/dV0Zs14IDB",,,nan,Dairy farming in Israel  we visited a farm with 1200 dairy cows  956 being milked with a daily milk production of 3   ,neutral,0.0,1.0,0.0,0.0
645,#Agri #Farming #farmer #farmlife #village #Pakistan #dairyfarm #Dairy #milk #livestock #Cow #Silage #milking… https://t.co/pDZI9FgbOm,,,"['Agri', 'Farming', 'farmer', 'farmlife', 'village', 'Pakistan', 'dairyfarm', 'Dairy', 'milk', 'livestock', 'Cow', 'Silage', 'milking']", Agri  Farming  farmer  farmlife  village  Pakistan  dairyfarm  Dairy  milk  livestock  Cow  Silage  milking   ,neutral,0.0,1.0,0.0,0.0
646,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
647,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
648,"Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca… https://t.co/3Y6Ue2NjqM",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']",Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca   ,positive,0.194,0.498,0.308,0.3182
649,"AFI Feeds, keeping your animals healthy. Choose Balanced Life, Balanced Diet.

#Dairy #Feed #AnimalFeed… https://t.co/fmwzELvxrR",,,"['Dairy', 'Feed', 'AnimalFeed']",AFI Feeds  keeping your animals healthy  Choose Balanced Life  Balanced Diet    Dairy  Feed  AnimalFeed   ,positive,0.0,0.828,0.172,0.4019
650,"@locoposting lactose intolerance? goat milk formula is a lot more expensive, plus i don't think there's much dairy farming to begin with",,,nan,  lactose intolerance  goat milk formula is a lot more expensive  plus i don t think there s much dairy farming to begin with,neutral,0.0,1.0,0.0,0.0
651,"RT @environmentnz: Finally, New Zealand’s #dairy industry is waking up to the upheaval that will come from precision fermentation. We need…",,,['dairy'], Finally  New Zealand s  dairy industry is waking up to the upheaval that will come from precision fermentation  We need ,neutral,0.0,1.0,0.0,0.0
652,@jeramiedreyfuss @CBSNews @DaveganRaza You assume cow milk is “cruel” but every daily experience I have living in a… https://t.co/SGrcnuGJ0p,,,nan,      You assume cow milk is  cruel  but every daily experience I have living in a   ,negative,0.167,0.833,0.0,-0.34
653,@dodders75 Cows milk is HEAVILY subsidised . https://t.co/TsAYzwE3tQ,,,nan,  Cows milk is HEAVILY subsidised    ,neutral,0.0,1.0,0.0,0.0
654,"RT @CornishMutual: 🌱Is adopting #RegenAg principles the future for UK dairy farming?🐄
 
@first_milk’s Mark Brooking makes the case for why…",,,['RegenAg'],  Is adopting  RegenAg principles the future for UK dairy farming       milk s Mark Brooking makes the case for why ,neutral,0.0,1.0,0.0,0.0
655,'The Lakeland decision reflects the strong dairy markets' https://t.co/IetvRCo3at,,,nan, The Lakeland decision reflects the strong dairy markets   ,positive,0.0,0.68,0.32,0.5106
656,New York now has school milk legislation modeled on a bill that recently passed the Pennsylvania House. Assemblyman… https://t.co/ZKhUKzxxx8,,,nan,New York now has school milk legislation modeled on a bill that recently passed the Pennsylvania House  Assemblyman   ,neutral,0.0,1.0,0.0,0.0
657,@scottlincicome @thedispatch Cows don’t produce skim milk—that’s part of the manufacturing process. If you quote so… https://t.co/EcM7YX358U,,,nan,    Cows don t produce skim milk that s part of the manufacturing process  If you quote so   ,neutral,0.0,1.0,0.0,0.0
658,"@jonathancyfer The dairy industry causes immense animal suffering, contributes to the climate catastrophe and is a… https://t.co/TXFIwCvr4q",,,nan,  The dairy industry causes immense animal suffering  contributes to the climate catastrophe and is a   ,negative,0.385,0.615,0.0,-0.8176
659,"@unhealthytruth that was during a time there were many local farmers &amp; not commercial farming. In Canada, it’s appa… https://t.co/NkznMvyTLP",,,nan,  that was during a time there were many local farmers  amp  not commercial farming  In Canada  it s appa   ,neutral,0.0,1.0,0.0,0.0
660,"@theproof Yeah, I expect precision fermentation of milk and related products (cheeses, yogurt, ice cream, etc.) wil… https://t.co/KUGgCyZeNq",,,nan,  Yeah  I expect precision fermentation of milk and related products  cheeses  yogurt  ice cream  etc   wil   ,positive,0.0,0.864,0.136,0.296
661,"@Credubuddhabear There's just something beautifully neoliberal about a protest that boils down to ""it's not fair I… https://t.co/KH6BnudMVS",,,nan,  There s just something beautifully neoliberal about a protest that boils down to  it s not fair I   ,negative,0.212,0.589,0.198,0.1872
662,New York Assemblyman Chris Tague (R-Schoharie) has introduced a bill that allows New York-produced whole milk in th… https://t.co/M3JoUjZaqj,,,nan,New York Assemblyman Chris Tague  R Schoharie  has introduced a bill that allows New York produced whole milk in th   ,neutral,0.0,1.0,0.0,0.0
663,School Whole Milk Bill Spreads to New York https://t.co/EtZINRmHSJ via @LancFarming,,,nan,School Whole Milk Bill Spreads to New York   via  ,neutral,0.0,1.0,0.0,0.0
664,The group supports changing the Class I (fluid milk) price calculation back to a method using the higher of the Cla… https://t.co/eJGLSk0Xvm,,,nan,The group supports changing the Class I  fluid milk  price calculation back to a method using the higher of the Cla   ,positive,0.0,0.878,0.122,0.3612
665,"Latest EU Milk and dairy products
Dashboard update https://t.co/tU7RFy5Kio https://t.co/bTxTS1RKZt",,,nan,Latest EU Milk and dairy products Dashboard update    ,neutral,0.0,1.0,0.0,0.0
666,"Latest EU milk and dairy products
update:

EU historical trade https://t.co/49awJTEpg1",,,nan,Latest EU milk and dairy products update   EU historical trade  ,neutral,0.0,1.0,0.0,0.0
667,"RT @jsleeio: @JohnKale420 @xmansmomm @thedailybeast I would find it exceedingly difficult to give up cheese

but eventually I think we’re g…",,,nan,       I would find it exceedingly difficult to give up cheese  but eventually I think we re g ,negative,0.119,0.881,0.0,-0.1901
668,"RT @CSOIreland: Agricultural input price index shows fertiliser prices up by 149% in the year to March 2022
https://t.co/FTYtchzDzp 
#CSOIr…",,,nan, Agricultural input price index shows fertiliser prices up by 149  in the year to March 2022     CSOIr ,neutral,0.0,1.0,0.0,0.0
669,"RT @CSOIreland: Agricultural input price index shows fertiliser prices up by 149% in the year to March 2022
https://t.co/FTYtchzDzp 
#CSOIr…",,,nan, Agricultural input price index shows fertiliser prices up by 149  in the year to March 2022     CSOIr ,neutral,0.0,1.0,0.0,0.0
670,"RT @CSOIreland: Agricultural input price index shows fertiliser prices up by 149% in the year to March 2022
https://t.co/FTYtchzDzp 
#CSOIr…",,,nan, Agricultural input price index shows fertiliser prices up by 149  in the year to March 2022     CSOIr ,neutral,0.0,1.0,0.0,0.0
671,"RT @CSOIreland: Agricultural input price index shows fertiliser prices up by 149% in the year to March 2022
https://t.co/FTYtchzDzp 
#CSOIr…",,,nan, Agricultural input price index shows fertiliser prices up by 149  in the year to March 2022     CSOIr ,neutral,0.0,1.0,0.0,0.0
672,"5 Variations of delicious Cheese for various recipes, that will melt your heart. 

Change is good for your taste bu… https://t.co/FfZ0jPhrmt",,,nan,5 Variations of delicious Cheese for various recipes  that will melt your heart    Change is good for your taste bu   ,positive,0.0,0.72,0.28,0.765
673,"Agricultural input price index shows fertiliser prices up by 149% in the year to March 2022
https://t.co/FTYtchzDzp… https://t.co/cd1IIJs8t4",,,nan,Agricultural input price index shows fertiliser prices up by 149  in the year to March 2022    ,neutral,0.0,1.0,0.0,0.0
674,#Agri #Farming #farmer #farmlife #village #Pakistan #dairyfarm #Dairy #milk #livestock #Cow #Silage #milking… https://t.co/4klwB4PdLq,,,"['Agri', 'Farming', 'farmer', 'farmlife', 'village', 'Pakistan', 'dairyfarm', 'Dairy', 'milk', 'livestock', 'Cow', 'Silage', 'milking']", Agri  Farming  farmer  farmlife  village  Pakistan  dairyfarm  Dairy  milk  livestock  Cow  Silage  milking   ,neutral,0.0,1.0,0.0,0.0
675,"@eggsequitur @CliffCooler @Brandon_Bird @Healer_Leona @abc27News most oats are grown conventionally, in huge monocu… https://t.co/WeN3RYIlbH",,,nan,      Bird   Leona   most oats are grown conventionally  in huge monocu   ,positive,0.0,0.796,0.204,0.3182
676,"RT @futurefarming12: If you are interested in dairy #goat farming for milk production, like and retweet! https://t.co/FNgSU9jX7j",,,['goat'], If you are interested in dairy  goat farming for milk production  like and retweet   ,positive,0.0,0.698,0.302,0.6369
677,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
678,"🌱Is adopting #RegenAg principles the future for UK dairy farming?🐄
 
@first_milk’s Mark Brooking makes the case for… https://t.co/GE8hbLuJUK",,,['RegenAg'], Is adopting  RegenAg principles the future for UK dairy farming       milk s Mark Brooking makes the case for   ,neutral,0.0,1.0,0.0,0.0
679,"RT @DandelionJolene: Good morning! Have a cruelty free day 🏵✌

#vegan #environment #pollution #diabetes #starvation #cuteanimals #rspca #la…",,,"['vegan', 'environment', 'pollution', 'diabetes', 'starvation', 'cuteanimals', 'rspca']", Good morning  Have a cruelty free day      vegan  environment  pollution  diabetes  starvation  cuteanimals  rspca  la ,positive,0.185,0.521,0.294,0.3182
680,"For more info visit below link:
https://t.co/cXqDMaf9P2

Feel Free to Contact Us:
Email id: davidj17893@gmail.com
P… https://t.co/XrA2vhEzuU",,,nan,For more info visit below link     Feel Free to Contact Us  Email id  davidj17893  com P   ,positive,0.0,0.809,0.191,0.5106
681,"Global Journal of Dairy Farming and Milk Production

scientists and researchers all over the world to promote, shar… https://t.co/2kZ0QJPsvE",,,nan,Global Journal of Dairy Farming and Milk Production  scientists and researchers all over the world to promote  shar   ,positive,0.0,0.867,0.133,0.3818
